frame,timestamp_sec,time_formatted,face_detected,mp_left_cx,mp_left_cy,mp_right_cx,mp_right_cy,left_edge_L_x,left_edge_L_y,left_edge_R_x,left_edge_R_y,left_center_x,left_center_y,left_confidence,left_method,edge_left_cx,edge_left_cy,right_edge_L_x,right_edge_L_y,right_edge_R_x,right_edge_R_y,right_center_x,right_center_y,right_confidence,right_method,edge_right_cx,edge_right_cy,gaze_x,gaze_y,left_deviation,right_deviation,left_jitter,right_jitter
54,1.8,00:01.800,True,763.058349609375,611.2744750976562,1253.0775146484375,586.9061889648438,702.0,612.0,761.0,611.0,731.5,611.5,0.125,edge_band,731.5,611.5,1205.0,585.0,1311.0,585.0,1258.0,585.0,0.3625,edge_band,1258.0,585.0,994.75,598.25,31.55915543149272,5.278675819373594,11.490730143554131,4.148497216397918
55,1.8333333333333333,00:01.833,True,728.7649536132812,611.6302490234375,1223.797607421875,582.9221801757812,756.0,613.0,761.0,609.0,758.5,611.0,0.125,edge_band,758.5,611.0,1223.0,581.0,1285.0,585.0,1254.0,583.0,0.3625,edge_band,1254.0,583.0,1006.25,597.0,29.74172485670358,30.202492833675525,12.075931129781694,4.345018889737251
56,1.8666666666666667,00:01.867,True,705.3907470703125,613.3980102539062,1202.7357177734375,584.1585693359375,653.0,616.0,737.0,613.0,695.0,614.5,0.05,edge_band,695.0,614.5,1151.0,581.0,1256.0,587.0,1203.5,584.0,0.5125,edge_band,1203.5,584.0,949.25,599.25,10.449019383640914,0.7805584898897663,27.99397328100294,23.950260913759777
57,1.9,00:01.900,True,702.5460815429688,612.2926025390625,1197.702392578125,582.1668701171875,647.0,611.0,739.0,615.0,693.0,613.0,0.175,edge_band,693.0,613.0,1208.0,583.0,1253.0,582.0,1230.5,582.5,0.45,edge_band,1230.5,582.5,961.75,597.75,9.57225595106762,32.79929920163315,32.563456486368395,24.11461774694901
58,1.9333333333333333,00:01.933,True,692.7949829101562,614.9900512695312,1189.960693359375,582.9723510742188,718.0,612.0,723.0,613.0,720.5,612.5,0.1,edge_band,720.5,612.5,1141.0,580.0,1241.0,582.0,1191.0,581.0,0.225,edge_band,1191.0,581.0,955.75,596.75,27.8166915227787,2.2294230314633157,28.610359971038484,31.30625450971055
59,1.9666666666666666,00:01.967,True,679.1246948242188,613.8873901367188,1179.723388671875,585.3607177734375,623.0,616.0,713.0,611.0,668.0,613.5,0.425,edge_band,668.0,613.5,1194.0,588.0,1230.0,588.0,1212.0,588.0,0.675,edge_band,1212.0,588.0,940.0,600.75,11.13143773508285,32.38433957174819,35.556077171254245,27.270103483344286
60,2.0,00:02.000,True,675.8394165039062,612.88134765625,1176.584716796875,585.541748046875,620.0,615.0,707.0,616.0,663.5,615.5,0.225,edge_band,663.5,615.5,1135.0,588.0,1229.0,589.0,1182.0,588.5,0.325,edge_band,1182.0,588.5,922.75,602.0,12.614219744173688,6.170619643780975,24.282829263567752,22.164711349599585
61,2.033333333333333,00:02.033,True,676.0567626953125,612.2137451171875,1176.123779296875,584.6180419921875,619.0,612.0,705.0,613.0,662.0,612.5,0.15,edge_band,662.0,612.5,1130.0,584.0,1231.0,587.0,1180.5,585.5,0.3,edge_band,1180.5,585.5,921.25,599.0,14.059677070625169,4.464208504315683,26.442708110456852,24.84769882819829
62,2.066666666666667,00:02.067,True,669.0079956054688,610.84375,1166.326171875,585.2701416015625,670.0,608.0,725.0,608.0,697.5,608.0,0.075,edge_band,697.5,608.0,1175.0,582.0,1206.0,584.0,1190.5,583.0,0.3375,edge_band,1190.5,583.0,944.0,595.5,28.633568210764235,24.280187583875577,28.53677439588969,15.786041878452725
63,2.1,00:02.100,True,664.8057861328125,611.52783203125,1162.754150390625,585.46484375,667.0,612.0,690.0,609.0,678.5,610.5,0.15,edge_band,678.5,610.5,1178.0,585.0,1215.0,582.0,1196.5,583.5,0.425,edge_band,1196.5,583.5,937.5,597.0,13.732732143486013,33.803002482330896,17.55815889323391,15.304599516367372
64,2.1333333333333333,00:02.133,True,660.3655395507812,613.8353881835938,1161.696533203125,585.4168701171875,671.0,617.0,689.0,616.0,680.0,616.5,0.0375,edge_band,680.0,616.5,1124.0,584.0,1201.0,585.0,1162.5,584.5,0.2875,edge_band,1162.5,584.5,921.25,600.5,19.814444056396514,1.2191020078205075,17.966561574723208,15.06548842871927
65,2.1666666666666665,00:02.167,True,658.4610595703125,613.1163330078125,1158.872802734375,584.4054565429688,611.0,613.0,688.0,615.0,649.5,614.0,0.1375,edge_band,649.5,614.0,1123.0,586.0,1202.0,586.0,1162.5,586.0,0.2625,edge_band,1162.5,586.0,906.0,600.0,9.004524194857325,3.9622126192468077,21.633298952953577,16.95914201975656
66,2.2,00:02.200,True,657.3199462890625,611.5419311523438,1157.0523681640625,582.477783203125,640.0,609.0,687.0,614.0,663.5,611.5,0.025,edge_band,663.5,611.5,1118.0,583.0,1209.0,579.0,1163.5,581.0,0.625,edge_band,1163.5,581.0,913.5,596.25,6.180195958997517,6.614816663161055,21.424904869391078,18.785846056345605
67,2.2333333333333334,00:02.233,True,656.8125610351562,610.3809814453125,1157.3914794921875,581.3225708007812,639.0,609.0,639.0,609.0,639.0,609.0,0.0125,edge_band,639.0,609.0,1173.0,580.0,1197.0,581.0,1185.0,580.5,0.4375,edge_band,1185.0,580.5,912.0,594.75,17.86601355600807,27.620771664683833,20.885069854504106,18.156354731115005
68,2.2666666666666666,00:02.267,True,657.0747680664062,610.5072021484375,1154.928466796875,581.1867065429688,,,,,657.0747680664062,610.5072021484375,0.0,iris_landmark_center,,,1116.0,582.0,1200.0,581.0,1158.0,581.5,0.45,edge_band,1158.0,581.5,907.5373840332031,596.0036010742188,,3.087469677279101,18.365905823785262,13.082383655934061
69,2.3,00:02.300,True,655.65576171875,609.8161010742188,1153.589111328125,582.0390014648438,684.0,607.0,685.0,607.0,684.5,607.0,0.025,edge_band,684.5,607.0,1186.0,584.0,1205.0,582.0,1195.5,583.0,0.4375,edge_band,1195.5,583.0,940.0,595.0,28.981382080324327,41.921904864293474,19.690700262691035,18.61816699422959
70,2.3333333333333335,00:02.333,True,652.2332763671875,611.4644775390625,1153.740234375,580.4752197265625,676.0,610.0,681.0,612.0,678.5,611.0,0.1625,edge_band,678.5,611.0,1182.0,583.0,1203.0,580.0,1192.5,581.5,0.2,edge_band,1192.5,581.5,935.5,596.25,26.270830017090137,38.773310484323595,19.86842377273883,18.05046620171304
